Fundraising Round,Round,Date,Investors,Amount,Valuation,Description,Founder,Website,Project,Category,Sub-categories,Announcement,End date
MediBloc - Series A,Series A,2020-12-02T00:00:00.000Z,Company K Partners/IMM Investment/Naver D2SF,3500000,none,"A decentralized healthcare ecosystem built on blockchain technology for patients, healthcare providers, and researchers",Allen Wookyun Kho/Eunsol Lee,https://medibloc.org/en/,MediBloc,Web3,Healthcare,none,none
Norwegian Block Exchange - Series A,Series A,2021-01-06T00:00:00.000Z,Pareto Securities,7100000,none,"A pioneering, forward-thinking, client-focused cryptocurrency exchange, custodian and payment system",Stig Aleksander Kjos-Mathisen,https://nbx.com/,Norwegian Block Exchange,CeFi,Exchange/Payment/Custody,https://www.cryptoninjas.net/2021/01/07/norwegian-block-exchange-nbx-secures-7-1m-investment/,none
Gourmet Galaxy - Strategic,Strategic,2021-01-14T00:00:00.000Z,Magnus Capital,none,none,"An innovative Yield Farming platform, a combined of DeFi and NFTs in a gaming experience",Thomas Johnson,https://gourmetgalaxy.io/,Gourmet Galaxy,NFTs,DeFi - NFTs/Gaming/Yield,https://gourmetgalaxy.medium.com/gourmet-galaxy-x-magnus-capital-590276f476ed,none
HQLAᵡ - Series B,Series B,2021-01-12T00:00:00.000Z,Deutsche Börse Group/BNY Mellon/Citi/Goldman Sachs/BNP Paribas Securities Services,17500000,none,A financial technology innovation firm that leverages R3’s distributed ledger technology,Guido Stroemer,https://www.hqla-x.com/,HQLAᵡ,CeFi,Securities/Collateralization/Liquidity,https://cryptodaily.co.uk/2021/01/HQLA-raises-millions,none
Mercado Bitcoin - Series A,Series A,2021-01-22T00:00:00.000Z,Parallax Ventures/Evora Fund,38000000,none,"A cryptocurrency exchange platform that allows people to trade cryptocurrency, digital assets, and other tokens",Gustavo Chamati/Mauricio Chamati,https://www.mercadobitcoin.com.br/,Mercado Bitcoin,CeFi,Exchange,https://cointelegraph.com/news/brazil-s-top-exchange-announces-international-expansion-after-raising-38m,none
Wyre - Strategic,Strategic,2021-01-26T00:00:00.000Z,Stellar Development Foundation,5000000,none,Developing a wide variety of payment APIs that offer a fast and cost-effective way of transferring mone,Ioannis Giannaros,https://www.sendwyre.com/,Wyre,CeFi,APIs/Payment,none,none
Apron Network - Seed,Seed,2021-01-29T00:00:00.000Z,"Digital Finance Group/NGC Ventures/Candaq/PAKA/Digital
  Renaissance/Vega Ventures",250000,none,"A decentralized infrastructure service platform for application developers, application users and infrastructure operators on Polkadot",Yifei Zhang,https://apron.network/,Apron Network,Infrastructure,Tooling/Developers,https://twitter.com/apronofficial1/status/1355095144828076034,none
Lendefi - Seed,Seed,2021-01-21T00:00:00.000Z,"Magnus Capital/TRG
  Capital/Fengshui Capital/Black Mamba Ventures/Onchain Capital",none,none,An innovative DeFi platform that delivers leveraged trading via secured undercollateralized loans,Scott Schulz,https://lendefi.finance/,Lendefi,DeFi,Trading/Lending/Borrowing,https://medium.com/lendefi/lendefi-is-doing-an-ido-e9579d1bcc0,none
Star Atlas - Seed,Seed,2021-01-29T00:00:00.000Z,"Serum/Moonwhale
  Ventures",none,none,"A virtual gaming metaverse emerging from the confluence of state of the art blockchain, real-time graphics, multiplayer video game, and decentralized financial technologies",Michael Wagner,https://staratlas.com/,Star Atlas,NFTs,Gaming/Metaverse,https://medium.com/star-atlas/star-atlas-closes-seed-round-with-serum-leading-funding-a5cf1c6bd7c9,none
Bitso - Series B,Series B,2020-12-09T00:00:00.000Z,QED Investors/Kaszek Ventures/Pantera Capital/Coinbase Ventures/Endeavor Catalyst,62000000,none,A cryptocurrency exchange platform that allows users to buy and sell bitcoin and other cryptocurrencies,Daniel Vogel,http://bitso.com/,Bitso,CeFi,Exchange,https://www.theblockcrypto.com/post/87085/bitso-crypto-funding-62-million-brazil,none
Digital Assets Data - Unknown,Unknown,2019-07-25T00:00:00.000Z,"North Island Ventures/Glenn Hutchins/James Hutchins/Morgan
  Creek Digital/Digital Currency Group/Vestigo Ventures/CMT Digital",3200000,none," A financial technology and data company building enterprise-grade software and data feeds for crypto hedge funds, family offices, research firms, global consulting firms, banks, sovereigns, and other market participants",Eddie Alfred/Jason Yates/Kurt Fenstermacher/Mike Alfred,http://www.digitalassetsdata.com/,Digital Assets Data,Web3,Analytics/Data,https://www.theblockcrypto.com/post/33392/with-3-2-million-in-new-funding-digital-assets-data-looks-to-expand-its-institutional-platform,none
Digital Assets Data - Seed,Seed,2019-04-30T00:00:00.000Z,Jump Capital/Galaxy Digital/CMT Digital/Distributed Global,3200000,none," A financial technology and data company building enterprise-grade software and data feeds for crypto hedge funds, family offices, research firms, global consulting firms, banks, sovereigns, and other market participants",Eddie Alfred/Jason Yates/Kurt Fenstermacher/Mike Alfred,http://www.digitalassetsdata.com/,Digital Assets Data,Web3,Analytics/Data,none,none
Curv - Series A,Series A,2020-07-01T00:00:00.000Z,Digital Currency Group/DG Lab Fund/CommerzVentures/Coinbase Ventures,23000000,none,A developer of digital asset security infrastructure helping crypto-native and financial institutions to create digital wallets,Dan Yadlin/Itay Malinger,https://www.curv.co/,Curv,CeFi,Wallet,none,none
Curv - Seed,Seed,2019-02-26T00:00:00.000Z,"Liberty
  City Ventures/Team8/Jump Capital/Flybridge/Digital Currency Group/Monex Group",6500000,none,Curv provides the industry’s first cloud-based Institutional Digital Asset Wallet Service,Itay Malinger/Dan Yadlin,https://www.curv.co/,Curv,Infrastructure,Wallet,https://venturebeat.com/2019/02/26/curv-raises-6-5-million-for-keyless-cryptography-to-keep-digital-assets-secure/,none
Solrise - Seed,Seed,2021-07-07T00:00:00.000Z,"Alameda
  Research/Delphi Digital/CMS Holdings/Jump Capital/ParaFi Capital/DeFi Alliance/Reciprocal Ventures/SkyVision Capital",3400000,none,"Decentralized, trust-minimized investment funds on Solana",Vidor Gencel/Matt Martin/Filip Dragoslavic,https://solrise.finance/,Solrise,DeFi,Investment,https://cointelegraph.com/news/defi-on-solana-solrise-raises-3-4m-for-non-custodial-asset-management?utm_content=buffer77d6b&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer,none
NYDIG - Series A,Series A,2017-07-01T00:00:00.000Z,Bessemer Venture Partners,50000000,none,A leading technology and financial services firm dedicated to Bitcoin,Robert Gutmann/Ross Stevens,https://nydig.com/,NYDIG,CeFi,Enterprise/Bitcoin,none,none
NYDIG - Unknown,Unknown,2021-04-08T00:00:00.000Z,Liberty Mutual Insurance/Starr Companies,100000000,none,A leading technology and financial services firm dedicated to Bitcoin,Robert Gutmann/Ross Stevens,https://nydig.com/,NYDIG,CeFi,Enterprise/Bitcoin,https://www.investing.com/news/cryptocurrency-news/nydig-raises-100-million-and-launches-bitcoinpowered-insurance-initiative-2469916,none
NYDIG - Unknown,Unknown,2021-03-08T00:00:00.000Z,"Morgan Stanley/MassMutual/New York Life Insurance/Stone Ridge Asset Management/FS Investments/Soros
  Fund Management/Bessemer Venture Partners/FinTech
  Collective",200000000,none,A leading technology and financial services firm dedicated to Bitcoin,Robert Gutmann/Ross Stevens,https://nydig.com/,NYDIG,CeFi,Enterprise/Bitcoin,none,none
NYDIG - Unknown,Unknown,2020-10-13T00:00:00.000Z,"Ribbit Capital/FinTech
  Collective/Bessemer Venture Partners/Thirdstream Partners",50000000,none,A leading technology and financial services firm dedicated to Bitcoin,Robert Gutmann/Ross Stevens,https://nydig.com/,NYDIG,CeFi,Enterprise/Bitcoin,https://nydig.com/about-nydig/news-press-releases/nydig-raises-50m-in-growth-equity-funding-nydig-parent-stone-ridge-holdings-group-announces-more-than-100m-in-bitcoin-as-primary-treasury-reserve-asset/,none
Parsec - Seed,Seed,2021-01-28T00:00:00.000Z,"Polychain Capital/Robot Ventures/Volt
  Capital/Free Company/Alexander Pack/Eric Conner/Will Price",1250000,none,DeFi pro trading and analytics,Will Sheehan,https://parsec.finance/,Parsec,DeFi,Analytics/Trading/Data,https://sheehan-95.medium.com/parsec-launch-building-for-the-next-10-years-of-defi-b3c82a47d225,none
Galaxy Digital - Post-IPO,Post-IPO,2019-01-02T00:00:00.000Z,Mike Novogratz,5000000,none,"A full service, digital assets merchant bank, with distinct trading, asset management, and principal investment",David J. Namdar/Michael Novogratz/Sam Englebardt,http://galaxydigital.io/,Galaxy Digital,CeFi,Banking/Investment,none,none
Zerion - Series A,Series A,2021-07-07T00:00:00.000Z,"Mosaic Ventures/Digital Currency Group/Placeholder/Lightspeed
  Venture Partners/Blockchain.com/Alexander Pack/Wintermute/The LAO/Stani Kulechov/SevenX Ventures/Lyuben Belov/Joey Krug/Julien Bouteloup/Fernando Martinelli/Ash Egan/Nikil Viswanathan/Joe Lau/DeFi Alliance",8200000,none,A platform for non-technical crypto users to easily access and manage assets on popular decentralized finance (DeFi) protocols,Evgeny Yurtaev,https://zerion.io/,Zerion,DeFi,Risk management/Asset management/Investment,https://www.theblockcrypto.com/post/110675/defi-investing-platform-zerion-series-a-funding,none
BitGo - Series B,Series B,2017-12-11T00:00:00.000Z,Redpoint/Digital Currency Group/Craft Ventures/Goldman Sachs/Valor Equity Partners/David Sacks/DRW/Bill Lee,42500000,none," Institutional digital asset financial services, providing clients with security, custody, and liquidity solutions",Ben Davenport/Mike Belshe/Will O'Brien,http://www.bitgo.com/,BitGo,CeFi,Custody/Enterprise/Liquidity,https://www.finextra.com/pressarticle/71919/bitgo-closes-425m-series-b-funding-round,none
BitGo - Unknown,Unknown,2018-10-18T00:00:00.000Z,Galaxy Digital/Goldman Sachs,15000000,none," Institutional digital asset financial services, providing clients with security, custody, and liquidity solutions",Ben Davenport/Mike Belshe/Will O'Brien,http://www.bitgo.com/,BitGo,CeFi,Custody/Enterprise/Liquidity,none,none
Ripple - Series C,Series C,2019-12-20T00:00:00.000Z,Tetragon Financial Group/SBI Financial Services/Route 66 Ventures,200000000,none,Providing one frictionless experience to send money globally using the power of blockchain,Arthur Britto/Chris Larsen/Ryan Fugger,http://ripple.com/,Ripple,Infrastructure,Layer 1,https://techcrunch.com/2019/12/20/ripple-raises-200-million-to-improve-global-payments/,none
Bithumb - Series A,Series A,2019-04-15T00:00:00.000Z,ST Blockchain Fund,200000000,none,A South Korea-based cryptocurrency exchange platform,Javier Sim,https://www.bithumb.com/,Bithumb,CeFi,Exchange,https://cointelegraph.com/news/south-korea-bithumb-exchange-operator-gains-200-million-from-japanese-investment-fund,none
Figure - Series B,Series B,2019-02-28T00:00:00.000Z,"Ulu Ventures/Thomvest Ventures/Thirdstream Partners/Ribbit Capital/Nimble Ventures/Morgan
  Creek Digital/Gramercy Ventures/Fin Venture Capital/DST Global",65000000,none,"Provides consumer financial solutions intended for home improvement, debt consolidation, and retirement planning",Mike Cagney,https://figure.com/,Figure,CeFi,Debt,https://www.coindesk.com/morgan-creek-joins-65-million-series-b-for-blockchain-home-equity-loan-firm,none
ThunderCore - Series A,Series A,2019-02-27T00:00:00.000Z,SVAngel/ZhenFund/VLane Capital/Pantera Capital/Kinetic Capital/Huobi Capital/Hashed/FBG Capital/Electric Capital,50000000,none," A fast, high performance EVM-compatible public blockchain with fully decentralized trust that brings scale to decentralized applications - with higher throughput, faster confirmation times, and lower costs",Chris Wang,https://www.thundercore.com/,ThunderCore,Infrastructure,Smart contracts/DApp/Layer 1,none,none
 - Series A,Series A,2019-10-16T00:00:00.000Z,Peter Thiel/Shasta Ventures,50000000,none, Building turnkey Bitcoin mining data centers that boost the profitability of energy assets,Alexander Liegl,https://www.layer1.com/,none,Infrastructure,Mining,https://www.nasdaq.com/articles/layer1-secures-%2450m-in-funding-to-rebalance-the-global-bitcoin-hash-power-2019-10-16,none
Robinhood - Series E,Series E,2019-10-29T00:00:00.000Z,DST Global,50000000,none,"A stock brokerage that allows customers to buy and sell stocks, options, ETFs, and cryptocurrencies with zero commission.a stock brokerage that allows customers to buy and sell stocks, options, ETFs, and cryptocurrencies with zero commission",Baiju Bhatt/Vlad Tenev,https://www.robinhood.com/,Robinhood,CeFi,Brokerage/Trading,none,none
Figure - Series A,Series A,2018-05-26T00:00:00.000Z,"Ulu Ventures/Sebastian Zhou/Thomvest Ventures/Nimble Ventures/Ribbit Capital/Morgan
  Creek Digital/RPM Ventures/Gramercy Ventures/General Global Capital/Mithril Capital Management",50000000,none,"Provides consumer financial solutions intended for home improvement, debt consolidation, and retirement planning",Mike Cagney,https://figure.com/,Figure,CeFi,Debt,https://techcrunch.com/2018/04/30/sofi-founder-mike-cagney-is-back-with-a-new-startup-and-50-million-in-funding-too/,none
Robinhood - Series H,Series H,2021-01-29T00:00:00.000Z,Sequoia Capital/Ribbit Capital,1000000000,none,"A stock brokerage that allows customers to buy and sell stocks, options, ETFs, and cryptocurrencies with zero commission.a stock brokerage that allows customers to buy and sell stocks, options, ETFs, and cryptocurrencies with zero commission",Baiju Bhatt/Vlad Tenev,https://www.robinhood.com/,Robinhood,CeFi,Brokerage/Trading,https://www.wsj.com/articles/robinhood-raises-1-billion-to-meet-surging-cash-demands-11611928504,none
Robinhood - Series G,Series G,2020-08-17T00:00:00.000Z,"Republic
  Labs/Millennia Capital/D1 Capital Partners/GoldenArc Capital",200000000,none,"A stock brokerage that allows customers to buy and sell stocks, options, ETFs, and cryptocurrencies with zero commission.a stock brokerage that allows customers to buy and sell stocks, options, ETFs, and cryptocurrencies with zero commission",Baiju Bhatt/Vlad Tenev,https://www.robinhood.com/,Robinhood,CeFi,Brokerage/Trading,https://vcnewsdaily.com/robinhood/venture-capital-funding/ljfdhqpdtw,none
Robinhood - Series F,Series F,2020-07-13T00:00:00.000Z,Two Culture Capital/TSG Consumer Partners/Sutton Capital/Institutional Venture Partners,320000000,none,"A stock brokerage that allows customers to buy and sell stocks, options, ETFs, and cryptocurrencies with zero commission.a stock brokerage that allows customers to buy and sell stocks, options, ETFs, and cryptocurrencies with zero commission",Baiju Bhatt/Vlad Tenev,https://www.robinhood.com/,Robinhood,CeFi,Brokerage/Trading,https://www.bloomberg.com/news/articles/2020-07-13/robinhood-raises-320-million-in-latest-funding-push,none
Bitmain - Series B,Series B,2018-06-11T00:00:00.000Z,"Sequoia Capital/Coatue
  Management",292700000,none,A manufacturer of Bitcoin mining hardware and other related service,Jihan Wu/Micree Zhan,https://www.bitmain.com/,Bitmain,Infrastructure,Mining/Hardware,none,none
ErisX - Series A,Series A,2018-10-01T00:00:00.000Z,Valor Equity Partners/NEX Opportunities/Cboe FX Markets,none,none,Specializes in digital asset space that offers both spot and futures contracts on one platform,Joseph Lubin,https://erisx.com/,ErisX,CeFi,Trading,none,none
Ligero - Seed,Seed,2019-03-07T00:00:00.000Z,ConsenSys Ventures,1200000,none,"A premier platform for decentralized collaboration on and off blockchain enabling: confidential transactions, private smart contracts, distributed threshold cryptography, secure auctions for decentralized exchanges and dark pools, private and verifiable machine learning",Muthu Venkitasubramaniam,https://ligero-inc.com/,Ligero,Infrastructure,Privacy,none,none
CoinFLEX - Unknown,Unknown,2019-08-21T00:00:00.000Z,Polychain Capital/NGC Ventures,10000000,none,"Home of of crypto yields, flexUSD, AMM+ & Note Tokens, physically-delivered crypto futures exchange, and crypto repo market. ",Mark Lamb/Sudhu Arumugam,https://www.coinflex.com/,CoinFLEX,CeFi,Yield/Trading,https://finance.yahoo.com/news/coinflex-muscles-asian-investors-10m-193804198.html,none
Aztec - Seed,Seed,2018-11-29T00:00:00.000Z,Jeffrey Tarrant/Entrepreneur First/ConsenSys Ventures/Charlie Songhurst/A.capital/Samos Investments,2100000,none,A protocol uses cutting-edge zero-knowledge proofs to enable private transactions on Ethereum,Thomas Pocock/Zachary Williamson,https://www.aztecprotocol.com/,Aztec,Infrastructure,Privacy,http://www.finsmes.com/2018/11/aztec-raises-2-1m-seed-funding.html?utm_source=feedburner&utm_medium=twitter&utm_campaign=Feed%3A+finsmes%2FcNHu+%28FinSMEs%29,none
SparkSwap - Pre-Seed,Pre-Seed,2018-03-01T00:00:00.000Z,Dennis Porto,none,none,The first cryptocurrency exchange built on the Lightning Network,Daniel Paz/Trey Griffith,https://sparkswap.com/,SparkSwap,DeFi,Exchange/Bitcoin,none,none
ErisX - Series B,Series B,2018-12-04T00:00:00.000Z,Valor Equity Partners/Pantera Capital/Nasdaq Ventures/Monex Group/Fidelity/DRW/Digital Currency Group/ConsenSys Ventures/Bitmain,27500000,none,Specializes in digital asset space that offers both spot and futures contracts on one platform,Joseph Lubin,https://erisx.com/,ErisX,CeFi,Trading,https://www.coindesk.com/fidelity-bitmain-and-more-invest-27-million-in-crypto-trading-platform-erisx,none
